Game no.,Winner,Score,mcboy,rdeep
1,rdeep,3,0,3
2,mcboy,1,1,3
3,rdeep,2,1,5
4,mcboy,1,2,5
5,rdeep,1,2,6
6,rdeep,2,2,8
7,rdeep,1,2,9
8,rdeep,2,2,11
9,mcboy,1,3,11
10,mcboy,1,4,11
11,mcboy,1,5,11
12,mcboy,1,6,11
13,mcboy,1,7,11
14,rdeep,2,7,13
15,mcboy,2,9,13
16,mcboy,3,12,13
17,mcboy,2,14,13
18,mcboy,3,17,13
19,mcboy,2,19,13
20,mcboy,1,20,13
21,mcboy,3,23,13
22,mcboy,2,25,13
23,mcboy,1,26,13
24,rdeep,2,26,15
25,mcboy,2,28,15
26,mcboy,1,29,15
27,mcboy,1,30,15
28,mcboy,2,32,15
29,rdeep,1,32,16
30,mcboy,1,33,16
31,rdeep,1,33,17
32,mcboy,1,34,17
33,rdeep,1,34,18
34,mcboy,1,35,18
35,rdeep,1,35,19
36,mcboy,1,36,19
37,rdeep,2,36,21
38,mcboy,1,37,21
39,rdeep,1,37,22
40,rdeep,1,37,23
41,mcboy,2,39,23
42,rdeep,1,39,24
43,rdeep,1,39,25
44,mcboy,2,41,25
45,rdeep,2,41,27
46,rdeep,3,41,30
47,mcboy,1,42,30
48,mcboy,1,43,30
49,mcboy,1,44,30
50,mcboy,3,47,30
51,mcboy,2,49,30
52,mcboy,2,51,30
53,rdeep,1,51,31
54,mcboy,1,52,31
55,mcboy,2,54,31
56,mcboy,1,55,31
57,mcboy,1,56,31
58,rdeep,1,56,32
59,mcboy,1,57,32
60,mcboy,2,59,32
61,rdeep,1,59,33
62,mcboy,2,61,33
63,mcboy,1,62,33
64,rdeep,1,62,34
65,mcboy,1,63,34
66,rdeep,1,63,35
67,rdeep,1,63,36
68,mcboy,1,64,36
69,rdeep,2,64,38
70,rdeep,1,64,39
71,mcboy,1,65,39
72,rdeep,3,65,42
73,rdeep,2,65,44
74,mcboy,1,66,44
75,mcboy,1,67,44
76,mcboy,1,68,44
77,rdeep,1,68,45
78,mcboy,3,71,45
79,mcboy,1,72,45
80,rdeep,1,72,46
81,rdeep,1,72,47
82,rdeep,1,72,48
83,mcboy,1,73,48
84,rdeep,2,73,50
85,rdeep,2,73,52
86,rdeep,2,73,54
87,rdeep,3,73,57
88,mcboy,1,74,57
89,mcboy,2,76,57
90,rdeep,1,76,58
91,mcboy,1,77,58
92,mcboy,2,79,58
93,mcboy,2,81,58
94,rdeep,2,81,60
95,mcboy,1,82,60
96,rdeep,1,82,61
97,rdeep,1,82,62
98,mcboy,1,83,62
99,mcboy,1,84,62
100,mcboy,1,85,62
101,mcboy,2,87,62
102,mcboy,1,88,62
103,mcboy,2,90,62
104,mcboy,1,91,62
105,mcboy,2,93,62
106,mcboy,1,94,62
107,mcboy,3,97,62
108,mcboy,1,98,62
109,rdeep,2,98,64
110,rdeep,1,98,65
111,mcboy,1,99,65
112,mcboy,2,101,65
113,mcboy,1,102,65
114,mcboy,3,105,65
115,rdeep,2,105,67
116,mcboy,1,106,67
117,mcboy,2,108,67
118,mcboy,1,109,67
119,rdeep,1,109,68
120,mcboy,1,110,68
121,mcboy,2,112,68
122,mcboy,2,114,68
123,rdeep,1,114,69
124,mcboy,1,115,69
125,rdeep,1,115,70
126,rdeep,2,115,72
127,rdeep,2,115,74
128,rdeep,2,115,76
129,mcboy,1,116,76
130,rdeep,1,116,77
131,mcboy,1,117,77
132,mcboy,3,120,77
133,mcboy,1,121,77
134,mcboy,1,122,77
135,mcboy,1,123,77
136,mcboy,2,125,77
137,mcboy,1,126,77
138,rdeep,2,126,79
139,mcboy,2,128,79
140,mcboy,1,129,79
141,mcboy,3,132,79
142,rdeep,1,132,80
143,mcboy,1,133,80
144,mcboy,1,134,80
145,mcboy,1,135,80
146,rdeep,2,135,82
147,rdeep,2,135,84
148,mcboy,1,136,84
149,mcboy,1,137,84
150,mcboy,1,138,84
151,rdeep,1,138,85
152,mcboy,1,139,85
153,rdeep,1,139,86
154,mcboy,2,141,86
155,mcboy,1,142,86
156,rdeep,2,142,88
157,mcboy,2,144,88
158,mcboy,1,145,88
159,rdeep,2,145,90
160,mcboy,1,146,90
161,mcboy,1,147,90
162,rdeep,1,147,91
163,mcboy,2,149,91
164,mcboy,1,150,91
165,mcboy,1,151,91
166,rdeep,2,151,93
167,mcboy,1,152,93
168,mcboy,1,153,93
169,rdeep,1,153,94
