Game no.,Winner,Score,mcbadboy,mcboy
100,mcboy,2,0,2
100,mcboy,2,0,4
100,mcbadboy,2,2,4
100,mcboy,2,2,6
100,mcbadboy,2,4,6
100,mcbadboy,2,6,6
100,mcbadboy,2,8,6
100,mcboy,2,8,8
100,mcboy,2,8,10
100,mcboy,2,8,12
100,mcbadboy,2,10,12
100,mcbadboy,2,12,12
100,mcbadboy,2,14,12
100,mcboy,2,14,14
100,mcbadboy,1,15,14
100,mcbadboy,2,17,14
100,mcboy,1,17,15
100,mcbadboy,2,19,15
100,mcbadboy,1,20,15
100,mcboy,1,20,16
100,mcboy,2,20,18
100,mcbadboy,1,21,18
100,mcbadboy,2,23,18
100,mcboy,2,23,20
100,mcbadboy,2,25,20
100,mcboy,2,25,22
100,mcbadboy,2,27,22
100,mcboy,1,27,23
100,mcbadboy,2,29,23
100,mcbadboy,2,31,23
100,mcboy,2,31,25
100,mcboy,1,31,26
100,mcbadboy,1,32,26
100,mcboy,2,32,28
100,mcboy,1,32,29
100,mcboy,2,32,31
100,mcboy,1,32,32
100,mcbadboy,1,33,32
100,mcbadboy,2,35,32
100,mcboy,1,35,33
100,mcbadboy,2,37,33
100,mcbadboy,2,39,33
100,mcboy,2,39,35
100,mcbadboy,2,41,35
100,mcboy,2,41,37
100,mcbadboy,1,42,37
100,mcbadboy,2,44,37
100,mcboy,2,44,39
100,mcbadboy,2,46,39
100,mcbadboy,1,47,39
100,mcbadboy,1,48,39
100,mcboy,2,48,41
100,mcbadboy,1,49,41
100,mcboy,2,49,43
100,mcboy,3,49,46
100,mcbadboy,1,50,46
100,mcboy,1,50,47
100,mcboy,2,50,49
100,mcbadboy,2,52,49
100,mcboy,2,52,51
100,mcboy,2,52,53
100,mcbadboy,1,53,53
100,mcboy,2,53,55
100,mcboy,1,53,56
100,mcbadboy,2,55,56
100,mcbadboy,2,57,56
100,mcbadboy,2,59,56
100,mcbadboy,2,61,56
100,mcbadboy,2,63,56
100,mcbadboy,2,65,56
100,mcboy,2,65,58
100,mcbadboy,2,67,58
100,mcbadboy,2,69,58
100,mcboy,2,69,60
100,mcboy,1,69,61
100,mcbadboy,2,71,61
100,mcboy,2,71,63
100,mcboy,1,71,64
100,mcboy,2,71,66
100,mcboy,2,71,68
100,mcbadboy,2,73,68
100,mcboy,2,73,70
100,mcbadboy,2,75,70
100,mcboy,2,75,72
100,mcbadboy,2,77,72
100,mcboy,2,77,74
100,mcboy,2,77,76
100,mcboy,2,77,78
100,mcboy,2,77,80
100,mcboy,1,77,81
100,mcboy,2,77,83
100,mcbadboy,2,79,83
100,mcboy,2,79,85
100,mcbadboy,2,81,85
100,mcboy,2,81,87
100,mcbadboy,1,82,87
100,mcbadboy,2,84,87
100,mcbadboy,1,85,87
100,mcbadboy,2,87,87
100,mcboy,2,87,89
