Game no.,Winner,Score,mcboy,rdeep
1000,rdeep,1,0,1
1000,mcboy,1,1,1
1000,mcboy,1,2,1
1000,rdeep,1,2,2
1000,rdeep,2,2,4
1000,mcboy,1,3,4
1000,mcboy,1,4,4
1000,rdeep,2,4,6
1000,rdeep,2,4,8
1000,mcboy,1,5,8
1000,mcboy,1,6,8
1000,mcboy,1,7,8
1000,mcboy,1,8,8
1000,mcboy,1,9,8
1000,mcboy,1,10,8
1000,mcboy,1,11,8
1000,mcboy,1,12,8
1000,mcboy,2,14,8
1000,mcboy,1,15,8
1000,mcboy,2,17,8
1000,mcboy,1,18,8
1000,mcboy,1,19,8
1000,mcboy,2,21,8
1000,mcboy,2,23,8
1000,rdeep,2,23,10
1000,rdeep,2,23,12
1000,mcboy,1,24,12
1000,mcboy,2,26,12
1000,mcboy,1,27,12
1000,mcboy,1,28,12
1000,mcboy,2,30,12
1000,rdeep,1,30,13
1000,mcboy,1,31,13
1000,mcboy,1,32,13
1000,rdeep,1,32,14
1000,mcboy,1,33,14
1000,mcboy,1,34,14
1000,rdeep,1,34,15
1000,rdeep,2,34,17
1000,rdeep,2,34,19
1000,mcboy,1,35,19
1000,mcboy,1,36,19
1000,mcboy,2,38,19
1000,mcboy,1,39,19
1000,rdeep,2,39,21
1000,mcboy,1,40,21
1000,mcboy,1,41,21
1000,mcboy,1,42,21
1000,mcboy,2,44,21
1000,mcboy,1,45,21
1000,mcboy,1,46,21
1000,mcboy,1,47,21
1000,rdeep,1,47,22
1000,mcboy,1,48,22
1000,mcboy,1,49,22
1000,rdeep,2,49,24
1000,mcboy,1,50,24
1000,mcboy,2,52,24
1000,mcboy,1,53,24
1000,mcboy,2,55,24
1000,mcboy,1,56,24
1000,mcboy,1,57,24
1000,rdeep,1,57,25
1000,mcboy,2,59,25
1000,rdeep,2,59,27
1000,mcboy,1,60,27
1000,rdeep,2,60,29
1000,mcboy,1,61,29
1000,mcboy,2,63,29
1000,mcboy,1,64,29
1000,mcboy,2,66,29
1000,mcboy,1,67,29
1000,rdeep,2,67,31
