Game no.,Winner,Score,mcboy,rand
100,mcboy,2,2,0
100,rand,1,2,1
100,mcboy,1,3,1
100,mcboy,1,4,1
100,mcboy,2,6,1
100,mcboy,1,7,1
100,mcboy,1,8,1
100,mcboy,1,9,1
100,mcboy,1,10,1
100,mcboy,3,13,1
100,mcboy,2,15,1
100,mcboy,1,16,1
100,mcboy,1,17,1
100,mcboy,2,19,1
100,mcboy,2,21,1
100,rand,1,21,2
100,mcboy,1,22,2
100,mcboy,2,24,2
100,mcboy,2,26,2
100,mcboy,2,28,2
100,mcboy,1,29,2
100,mcboy,2,31,2
100,rand,1,31,3
100,mcboy,1,32,3
100,mcboy,1,33,3
100,mcboy,1,34,3
100,mcboy,2,36,3
100,mcboy,2,38,3
100,mcboy,1,39,3
100,mcboy,1,40,3
100,mcboy,2,42,3
100,mcboy,2,44,3
100,mcboy,3,47,3
100,rand,1,47,4
100,mcboy,1,48,4
100,mcboy,2,50,4
100,mcboy,2,52,4
100,mcboy,2,54,4
100,mcboy,2,56,4
100,mcboy,3,59,4
100,mcboy,2,61,4
100,mcboy,1,62,4
100,mcboy,1,63,4
100,mcboy,1,64,4
100,mcboy,1,65,4
100,mcboy,2,67,4
100,mcboy,3,70,4
100,mcboy,1,71,4
100,mcboy,2,73,4
100,mcboy,2,75,4
100,mcboy,1,76,4
100,mcboy,1,77,4
100,mcboy,2,79,4
100,mcboy,2,81,4
100,rand,1,81,5
100,mcboy,2,83,5
100,mcboy,3,86,5
100,mcboy,1,87,5
100,mcboy,2,89,5
100,mcboy,2,91,5
100,mcboy,2,93,5
100,mcboy,2,95,5
100,mcboy,2,97,5
100,mcboy,1,98,5
100,mcboy,1,99,5
100,mcboy,2,101,5
100,mcboy,2,103,5
100,mcboy,1,104,5
100,mcboy,1,105,5
100,mcboy,3,108,5
100,mcboy,2,110,5
100,mcboy,1,111,5
100,rand,1,111,6
100,rand,1,111,7
100,mcboy,2,113,7
100,mcboy,1,114,7
100,mcboy,2,116,7
100,mcboy,2,118,7
100,mcboy,2,120,7
100,mcboy,1,121,7
100,rand,1,121,8
100,mcboy,2,123,8
100,rand,1,123,9
100,mcboy,2,125,9
100,mcboy,2,127,9
100,rand,1,127,10
100,mcboy,2,129,10
100,mcboy,2,131,10
100,mcboy,1,132,10
100,mcboy,2,134,10
100,mcboy,1,135,10
100,mcboy,2,137,10
100,mcboy,2,139,10
100,mcboy,2,141,10
100,mcboy,2,143,10
100,mcboy,1,144,10
100,mcboy,2,146,10
100,mcboy,2,148,10
100,mcboy,2,150,10
100,mcboy,1,151,10
