Game no.,Winner,Score,mcbadboy,rand
100,rand,1,0,1
100,rand,2,0,3
100,rand,1,0,4
100,rand,2,0,6
100,rand,1,0,7
100,rand,2,0,9
100,rand,2,0,11
100,rand,1,0,12
100,rand,1,0,13
100,rand,2,0,15
100,rand,2,0,17
100,rand,2,0,19
100,rand,3,0,22
100,rand,1,0,23
100,rand,3,0,26
100,rand,2,0,28
100,rand,1,0,29
100,rand,3,0,32
100,rand,1,0,33
100,rand,2,0,35
100,rand,1,0,36
100,rand,2,0,38
100,rand,1,0,39
100,rand,3,0,42
100,rand,1,0,43
100,rand,2,0,45
100,rand,1,0,46
100,rand,2,0,48
100,rand,3,0,51
100,rand,2,0,53
100,rand,3,0,56
100,rand,3,0,59
100,rand,3,0,62
100,rand,3,0,65
100,rand,2,0,67
100,rand,2,0,69
100,rand,3,0,72
100,rand,2,0,74
100,rand,3,0,77
100,rand,3,0,80
100,rand,3,0,83
100,rand,2,0,85
100,rand,2,0,87
100,rand,3,0,90
100,rand,1,0,91
100,rand,3,0,94
100,rand,2,0,96
100,rand,3,0,99
100,rand,1,0,100
100,rand,2,0,102
100,rand,1,0,103
100,rand,2,0,105
100,rand,2,0,107
100,rand,1,0,108
100,rand,2,0,110
100,rand,1,0,111
100,rand,2,0,113
100,rand,1,0,114
100,rand,2,0,116
100,rand,3,0,119
100,rand,3,0,122
100,rand,3,0,125
100,rand,2,0,127
100,rand,2,0,129
100,rand,3,0,132
100,rand,2,0,134
100,rand,3,0,137
100,rand,1,0,138
100,rand,2,0,140
100,rand,2,0,142
100,mcbadboy,2,2,142
100,rand,2,2,144
100,rand,2,2,146
100,rand,2,2,148
100,rand,1,2,149
100,rand,2,2,151
100,rand,1,2,152
100,rand,3,2,155
100,rand,1,2,156
100,rand,2,2,158
100,rand,1,2,159
100,rand,2,2,161
100,rand,3,2,164
100,rand,2,2,166
100,rand,2,2,168
100,rand,3,2,171
100,rand,2,2,173
100,rand,2,2,175
100,rand,2,2,177
100,rand,3,2,180
100,rand,2,2,182
100,rand,3,2,185
100,rand,2,2,187
100,rand,2,2,189
100,rand,3,2,192
100,rand,1,2,193
100,rand,2,2,195
100,rand,2,2,197
100,rand,1,2,198
100,rand,3,2,201
