Game no.,Winner,Score,mcboy,rdeep
1,mcboy,2,2,0
2,mcboy,2,4,0
3,rdeep,2,4,2
4,mcboy,1,5,2
5,mcboy,2,7,2
6,mcboy,1,8,2
7,rdeep,1,8,3
8,mcboy,2,10,3
9,mcboy,1,11,3
10,rdeep,2,11,5
11,rdeep,1,11,6
12,mcboy,1,12,6
13,mcboy,2,14,6
14,rdeep,2,14,8
15,mcboy,2,16,8
16,mcboy,1,17,8
17,mcboy,2,19,8
18,rdeep,1,19,9
19,mcboy,1,20,9
20,mcboy,2,22,9
21,mcboy,1,23,9
22,rdeep,1,23,10
23,mcboy,2,25,10
24,mcboy,2,27,10
25,mcboy,1,28,10
26,rdeep,2,28,12
27,mcboy,2,30,12
28,rdeep,3,30,15
29,rdeep,1,30,16
30,mcboy,2,32,16
31,rdeep,2,32,18
32,mcboy,2,34,18
33,rdeep,2,34,20
34,rdeep,1,34,21
35,mcboy,2,36,21
36,mcboy,1,37,21
37,mcboy,2,39,21
38,mcboy,2,41,21
39,rdeep,1,41,22
40,mcboy,2,43,22
41,mcboy,1,44,22
42,mcboy,1,45,22
43,mcboy,2,47,22
44,mcboy,1,48,22
45,mcboy,1,49,22
46,mcboy,1,50,22
47,mcboy,2,52,22
48,mcboy,2,54,22
49,mcboy,1,55,22
50,mcboy,2,57,22
51,mcboy,1,58,22
52,rdeep,1,58,23
53,mcboy,2,60,23
54,mcboy,1,61,23
55,mcboy,2,63,23
56,mcboy,1,64,23
57,mcboy,1,65,23
58,rdeep,2,65,25
59,rdeep,1,65,26
60,rdeep,1,65,27
61,rdeep,2,65,29
62,mcboy,2,67,29
63,mcboy,1,68,29
64,rdeep,1,68,30
65,rdeep,1,68,31
66,mcboy,1,69,31
67,rdeep,2,69,33
68,mcboy,1,70,33
69,rdeep,1,70,34
70,rdeep,2,70,36
71,mcboy,1,71,36
72,mcboy,1,72,36
73,mcboy,1,73,36
74,mcboy,2,75,36
75,mcboy,1,76,36
76,mcboy,1,77,36
77,rdeep,3,77,39
78,mcboy,1,78,39
79,mcboy,1,79,39
80,mcboy,1,80,39
81,rdeep,2,80,41
82,mcboy,1,81,41
83,mcboy,1,82,41
84,mcboy,2,84,41
85,mcboy,3,87,41
86,mcboy,1,88,41
87,mcboy,1,89,41
88,mcboy,1,90,41
89,mcboy,2,92,41
90,rdeep,2,92,43
91,rdeep,1,92,44
92,rdeep,2,92,46
93,rdeep,1,92,47
94,mcboy,1,93,47
95,rdeep,1,93,48
96,mcboy,1,94,48
97,rdeep,3,94,51
98,mcboy,1,95,51
99,rdeep,1,95,52
100,rdeep,2,95,54
101,mcboy,1,96,54
102,mcboy,2,98,54
103,rdeep,2,98,56
104,mcboy,1,99,56
105,mcboy,1,100,56
106,rdeep,1,100,57
107,rdeep,1,100,58
108,mcboy,1,101,58
109,mcboy,2,103,58
110,rdeep,2,103,60
111,mcboy,2,105,60
112,mcboy,1,106,60
113,mcboy,1,107,60
114,rdeep,2,107,62
115,rdeep,2,107,64
116,rdeep,1,107,65
117,mcboy,1,108,65
118,rdeep,2,108,67
119,mcboy,1,109,67
120,mcboy,2,111,67
121,mcboy,1,112,67
122,mcboy,3,115,67
123,mcboy,2,117,67
124,mcboy,2,119,67
125,mcboy,2,121,67
126,rdeep,1,121,68
127,mcboy,2,123,68
128,mcboy,1,124,68
129,rdeep,1,124,69
130,mcboy,2,126,69
131,mcboy,2,128,69
132,rdeep,3,128,72
133,mcboy,1,129,72
134,mcboy,3,132,72
135,mcboy,2,134,72
136,mcboy,1,135,72
137,mcboy,1,136,72
138,rdeep,2,136,74
139,mcboy,1,137,74
140,mcboy,1,138,74
141,mcboy,1,139,74
142,rdeep,1,139,75
143,mcboy,1,140,75
144,mcboy,2,142,75
145,mcboy,1,143,75
146,mcboy,2,145,75
147,mcboy,1,146,75
148,mcboy,1,147,75
149,mcboy,2,149,75
150,mcboy,1,150,75
151,rdeep,2,150,77
152,mcboy,1,151,77
153,mcboy,1,152,77
154,mcboy,1,153,77
155,rdeep,3,153,80
156,mcboy,2,155,80
157,mcboy,1,156,80
158,rdeep,2,156,82
159,mcboy,1,157,82
160,mcboy,1,158,82
161,mcboy,1,159,82
162,mcboy,1,160,82
163,mcboy,1,161,82
164,mcboy,1,162,82
165,mcboy,1,163,82
166,mcboy,1,164,82
167,mcboy,1,165,82
168,mcboy,1,166,82
169,mcboy,1,167,82
170,mcboy,2,169,82
171,mcboy,1,170,82
172,mcboy,1,171,82
173,rdeep,2,171,84
174,mcboy,2,173,84
175,mcboy,2,175,84
176,mcboy,2,177,84
177,rdeep,1,177,85
178,rdeep,1,177,86
179,mcboy,1,178,86
180,mcboy,1,179,86
181,mcboy,1,180,86
182,mcboy,2,182,86
183,mcboy,1,183,86
184,mcboy,2,185,86
185,mcboy,1,186,86
186,rdeep,1,186,87
187,rdeep,1,186,88
188,mcboy,1,187,88
189,rdeep,1,187,89
190,mcboy,1,188,89
191,rdeep,1,188,90
192,mcboy,2,190,90
193,rdeep,1,190,91
194,mcboy,1,191,91
195,rdeep,3,191,94
196,mcboy,2,193,94
197,mcboy,2,195,94
198,rdeep,2,195,96
199,mcboy,1,196,96
200,rdeep,1,196,97
