Game no.,Winner,Score,mcbadboy,mcboy
1000,mcboy,3,0,639
1000,mcboy,3,0,642
1000,mcboy,3,0,645
1000,mcboy,3,0,648
1000,mcboy,2,0,650
1000,mcboy,2,0,652
1000,mcboy,3,0,655
1000,mcboy,3,0,658
1000,mcboy,3,0,661
1000,mcboy,3,0,664
1000,mcboy,3,0,667
1000,mcboy,3,0,670
1000,mcboy,3,0,673
1000,mcboy,3,0,676
1000,mcboy,3,0,679
1000,mcboy,3,0,682
1000,mcboy,3,0,685
1000,mcboy,3,0,688
1000,mcboy,3,0,691
1000,mcboy,3,0,694
1000,mcboy,3,0,697
1000,mcboy,2,0,699
1000,mcboy,3,0,702
1000,mcboy,2,0,704
1000,mcboy,3,0,707
1000,mcboy,3,0,710
1000,mcboy,3,0,713
1000,mcboy,2,0,715
1000,mcboy,3,0,718
1000,mcboy,3,0,721
1000,mcboy,2,0,723
1000,mcboy,2,0,725
1000,mcboy,3,0,728
1000,mcboy,3,0,731
1000,mcboy,3,0,734
1000,mcboy,1,0,735
1000,mcboy,3,0,738
1000,mcboy,3,0,741
1000,mcboy,3,0,744
1000,mcboy,2,0,746
1000,mcboy,3,0,749
1000,mcboy,2,0,751
1000,mcboy,2,0,753
1000,mcboy,3,0,756
1000,mcboy,3,0,759
1000,mcboy,3,0,762
1000,mcboy,3,0,765
1000,mcboy,3,0,768
1000,mcboy,3,0,771
1000,mcboy,1,0,772
1000,mcboy,3,0,775
1000,mcboy,3,0,778
1000,mcboy,3,0,781
1000,mcboy,3,0,784
1000,mcboy,3,0,787
1000,mcboy,3,0,790
1000,mcboy,3,0,793
1000,mcboy,3,0,796
1000,mcboy,3,0,799
1000,mcboy,3,0,802
1000,mcboy,3,0,805
1000,mcboy,3,0,808
1000,mcboy,3,0,811
1000,mcboy,3,0,814
1000,mcboy,3,0,817
1000,mcboy,3,0,820
1000,mcboy,2,0,822
1000,mcboy,3,0,825
1000,mcboy,3,0,828
1000,mcboy,3,0,831
1000,mcboy,3,0,834
1000,mcboy,3,0,837
1000,mcboy,2,0,839
1000,mcboy,3,0,842
1000,mcboy,3,0,845
1000,mcboy,3,0,848
1000,mcboy,2,0,850
1000,mcboy,3,0,853
1000,mcboy,3,0,856
1000,mcboy,2,0,858
1000,mcboy,3,0,861
1000,mcboy,3,0,864
1000,mcboy,3,0,867
1000,mcboy,3,0,870
1000,mcboy,2,0,872
1000,mcboy,2,0,874
1000,mcboy,3,0,877
1000,mcboy,3,0,880
1000,mcboy,2,0,882
1000,mcboy,2,0,884
1000,mcboy,3,0,887
1000,mcboy,3,0,890
1000,mcboy,3,0,893
1000,mcboy,3,0,896
1000,mcboy,3,0,899
1000,mcboy,3,0,902
1000,mcboy,2,0,904
1000,mcboy,3,0,907
1000,mcboy,3,0,910
1000,mcboy,3,0,913
