Game no.,Winner,Score,mcboy,rdeep
1,rdeep,2,0,2
2,rdeep,1,0,3
3,mcboy,1,1,3
4,rdeep,2,1,5
5,mcboy,1,2,5
6,mcboy,1,3,5
7,mcboy,1,4,5
8,mcboy,2,6,5
9,mcboy,1,7,5
10,rdeep,1,7,6
11,mcboy,2,9,6
12,mcboy,1,10,6
13,mcboy,3,13,6
14,mcboy,2,15,6
15,rdeep,2,15,8
16,rdeep,2,15,10
17,mcboy,1,16,10
18,mcboy,1,17,10
19,rdeep,1,17,11
20,mcboy,2,19,11
21,mcboy,1,20,11
22,mcboy,2,22,11
23,rdeep,1,22,12
24,mcboy,1,23,12
25,rdeep,3,23,15
26,rdeep,2,23,17
27,rdeep,1,23,18
28,mcboy,1,24,18
29,mcboy,2,26,18
30,mcboy,1,27,18
31,mcboy,1,28,18
32,mcboy,2,30,18
33,mcboy,3,33,18
34,mcboy,1,34,18
35,mcboy,1,35,18
36,mcboy,1,36,18
37,mcboy,1,37,18
38,mcboy,1,38,18
39,mcboy,1,39,18
40,rdeep,3,39,21
41,rdeep,2,39,23
42,mcboy,1,40,23
43,mcboy,2,42,23
44,mcboy,1,43,23
45,rdeep,3,43,26
46,rdeep,1,43,27
47,rdeep,1,43,28
48,rdeep,1,43,29
49,mcboy,1,44,29
50,mcboy,1,45,29
51,rdeep,1,45,30
52,mcboy,1,46,30
53,mcboy,2,48,30
54,rdeep,2,48,32
55,rdeep,1,48,33
56,mcboy,1,49,33
57,mcboy,3,52,33
58,rdeep,1,52,34
59,rdeep,1,52,35
60,mcboy,1,53,35
61,mcboy,1,54,35
62,mcboy,1,55,35
63,mcboy,2,57,35
64,mcboy,2,59,35
65,mcboy,1,60,35
66,rdeep,1,60,36
67,rdeep,2,60,38
68,rdeep,1,60,39
69,rdeep,1,60,40
70,mcboy,1,61,40
71,mcboy,1,62,40
72,rdeep,2,62,42
73,mcboy,1,63,42
74,mcboy,1,64,42
75,rdeep,1,64,43
76,mcboy,1,65,43
77,mcboy,1,66,43
78,mcboy,2,68,43
79,rdeep,1,68,44
80,mcboy,1,69,44
81,mcboy,1,70,44
82,rdeep,1,70,45
83,mcboy,1,71,45
84,mcboy,1,72,45
85,mcboy,1,73,45
86,rdeep,2,73,47
87,mcboy,1,74,47
88,mcboy,1,75,47
89,rdeep,3,75,50
90,rdeep,1,75,51
91,rdeep,1,75,52
92,mcboy,1,76,52
93,mcboy,1,77,52
94,mcboy,1,78,52
95,rdeep,2,78,54
96,mcboy,1,79,54
97,mcboy,1,80,54
98,rdeep,1,80,55
99,mcboy,3,83,55
100,mcboy,1,84,55
101,mcboy,1,85,55
102,rdeep,2,85,57
