GAME No.,Winner,Score,mcboy,rdeep
1,mcboy,1,1,0
2,rdeep,2,1,2
3,rdeep,2,1,4
4,mcboy,1,2,4
5,mcboy,1,3,4
6,rdeep,1,3,5
7,rdeep,3,3,8
8,mcboy,1,4,8
9,mcboy,2,6,8
10,mcboy,1,7,8
