Game no.,Winner,Score,mcboy,rdeep,,,mcboy,rdeep
739,rdeep,2,651,468,,,0,2
740,mcboy,2,653,468,,,2,0
741,rdeep,1,653,469,,,0,1
742,mcboy,1,654,469,,,1,0
743,mcboy,1,655,469,,,1,0
744,mcboy,2,657,469,,,2,0
745,rdeep,2,657,471,,,0,2
746,mcboy,1,658,471,,,1,0
747,mcboy,1,659,471,,,1,0
748,mcboy,1,660,471,,,1,0
749,mcboy,1,661,471,,,1,0
750,mcboy,1,662,471,,,1,0
751,rdeep,2,662,473,,,0,2
752,mcboy,2,664,473,,,2,0
753,mcboy,1,665,473,,,1,0
754,mcboy,2,667,473,,,2,0
755,mcboy,2,669,473,,,2,0
756,mcboy,1,670,473,,,1,0
757,mcboy,2,672,473,,,2,0
758,mcboy,2,674,473,,,2,0
759,mcboy,3,677,473,,,3,0
760,rdeep,1,677,474,,,0,1
761,mcboy,3,680,474,,,3,0
762,mcboy,1,681,474,,,1,0
763,rdeep,1,681,475,,,0,1
764,mcboy,1,682,475,,,1,0
765,mcboy,2,684,475,,,2,0
766,rdeep,1,684,476,,,0,1
767,mcboy,2,686,476,,,2,0
768,mcboy,1,687,476,,,1,0
769,rdeep,1,687,477,,,0,1
770,rdeep,2,687,479,,,0,2
771,rdeep,1,687,480,,,0,1
772,rdeep,3,687,483,,,0,3
773,rdeep,2,687,485,,,0,2
774,rdeep,2,687,487,,,0,2
775,rdeep,2,687,489,,,0,2
776,mcboy,1,688,489,,,1,0
777,rdeep,2,688,491,,,0,2
778,mcboy,2,690,491,,,2,0
779,mcboy,1,691,491,,,1,0
780,rdeep,2,691,493,,,0,2
781,mcboy,2,693,493,,,2,0
782,rdeep,2,693,495,,,0,2
783,rdeep,1,693,496,,,0,1
784,mcboy,1,694,496,,,1,0
785,mcboy,2,696,496,,,2,0
786,mcboy,1,697,496,,,1,0
787,rdeep,1,697,497,,,0,1
788,rdeep,2,697,499,,,0,2
789,mcboy,1,698,499,,,1,0
790,rdeep,3,698,502,,,0,3
791,mcboy,1,699,502,,,1,0
792,rdeep,2,699,504,,,0,2
793,rdeep,2,699,506,,,0,2
794,rdeep,1,699,507,,,0,1
795,mcboy,3,702,507,,,3,0
796,mcboy,1,703,507,,,1,0
797,rdeep,3,703,510,,,0,3
798,rdeep,1,703,511,,,0,1
799,rdeep,3,703,514,,,0,3
800,mcboy,1,704,514,,,1,0
801,mcboy,2,706,514,,,2,0
802,mcboy,1,707,514,,,1,0
803,rdeep,2,707,516,,,0,2
804,mcboy,2,709,516,,,2,0
805,mcboy,1,710,516,,,1,0
806,rdeep,2,710,518,,,0,2
807,mcboy,1,711,518,,,1,0
808,mcboy,2,713,518,,,2,0
809,mcboy,2,715,518,,,2,0
810,mcboy,1,716,518,,,1,0
811,mcboy,2,718,518,,,2,0
812,mcboy,1,719,518,,,1,0
813,mcboy,1,720,518,,,1,0
814,mcboy,1,721,518,,,1,0
815,rdeep,2,721,520,,,0,2
816,rdeep,2,721,522,,,0,2
817,rdeep,1,721,523,,,0,1
818,rdeep,2,721,525,,,0,2
819,mcboy,1,722,525,,,1,0
820,mcboy,1,723,525,,,1,0
821,rdeep,2,723,527,,,0,2
822,mcboy,3,726,527,,,3,0
823,mcboy,1,727,527,,,1,0
824,mcboy,1,728,527,,,1,0
825,mcboy,1,729,527,,,1,0
826,rdeep,1,729,528,,,0,1
827,mcboy,1,730,528,,,1,0
828,rdeep,2,730,530,,,0,2
829,rdeep,2,730,532,,,0,2
830,mcboy,2,732,532,,,2,0
831,mcboy,2,734,532,,,2,0
832,mcboy,2,736,532,,,2,0
833,mcboy,2,738,532,,,2,0
834,rdeep,3,738,535,,,0,3
835,rdeep,2,738,537,,,0,2
836,rdeep,1,738,538,,,0,1
837,mcboy,1,739,538,,,1,0
838,mcboy,1,740,538,,,1,0
839,mcboy,1,741,538,,,1,0
840,mcboy,1,742,538,,,1,0
841,mcboy,1,743,538,,,1,0
842,mcboy,1,744,538,,,1,0
843,rdeep,3,744,541,,,0,3
844,mcboy,2,746,541,,,2,0
845,rdeep,1,746,542,,,0,1
846,mcboy,1,747,542,,,1,0
847,mcboy,2,749,542,,,2,0
848,mcboy,1,750,542,,,1,0
849,rdeep,3,750,545,,,0,3
850,mcboy,1,751,545,,,1,0
851,mcboy,1,752,545,,,1,0
852,mcboy,1,753,545,,,1,0
853,mcboy,2,755,545,,,2,0
854,mcboy,1,756,545,,,1,0
855,mcboy,1,757,545,,,1,0
856,rdeep,3,757,548,,,0,3
857,rdeep,2,757,550,,,0,2
858,rdeep,2,757,552,,,0,2
859,mcboy,2,759,552,,,2,0
860,mcboy,2,761,552,,,2,0
861,mcboy,1,762,552,,,1,0
862,rdeep,2,762,554,,,0,2
863,mcboy,1,763,554,,,1,0
864,rdeep,2,763,556,,,0,2
865,mcboy,1,764,556,,,1,0
866,mcboy,1,765,556,,,1,0
867,mcboy,1,766,556,,,1,0
868,mcboy,2,768,556,,,2,0
869,mcboy,2,770,556,,,2,0
870,mcboy,2,772,556,,,2,0
871,rdeep,2,772,558,,,0,2
872,mcboy,2,774,558,,,2,0
873,rdeep,3,774,561,,,0,3
874,rdeep,2,774,563,,,0,2
875,mcboy,1,775,563,,,1,0
876,mcboy,2,777,563,,,2,0
877,mcboy,1,778,563,,,1,0
878,rdeep,2,778,565,,,0,2
879,mcboy,1,779,565,,,1,0
880,mcboy,1,780,565,,,1,0
881,mcboy,1,781,565,,,1,0
882,mcboy,1,782,565,,,1,0
883,mcboy,1,783,565,,,1,0
884,rdeep,2,783,567,,,0,2
885,mcboy,1,784,567,,,1,0
886,mcboy,1,785,567,,,1,0
887,mcboy,1,786,567,,,1,0
888,mcboy,2,788,567,,,2,0
889,mcboy,3,791,567,,,3,0
890,mcboy,2,793,567,,,2,0
891,rdeep,2,793,569,,,0,2
892,mcboy,1,794,569,,,1,0
893,mcboy,1,795,569,,,1,0
894,rdeep,1,795,570,,,0,1
895,mcboy,1,796,570,,,1,0
896,mcboy,1,797,570,,,1,0
897,mcboy,1,798,570,,,1,0
898,mcboy,1,799,570,,,1,0
899,mcboy,1,800,570,,,1,0
900,mcboy,2,802,570,,,2,0
901,mcboy,1,803,570,,,1,0
902,mcboy,1,804,570,,,1,0
903,rdeep,1,804,571,,,0,1
904,mcboy,1,805,571,,,1,0
905,mcboy,1,806,571,,,1,0
906,rdeep,1,806,572,,,0,1
907,mcboy,1,807,572,,,1,0
908,mcboy,1,808,572,,,1,0
909,mcboy,1,809,572,,,1,0
910,mcboy,1,810,572,,,1,0
911,mcboy,2,812,572,,,2,0
912,rdeep,2,812,574,,,0,2
913,rdeep,2,812,576,,,0,2
914,mcboy,1,813,576,,,1,0
915,mcboy,1,814,576,,,1,0
916,mcboy,1,815,576,,,1,0
917,mcboy,1,816,576,,,1,0
918,mcboy,2,818,576,,,2,0
919,rdeep,2,818,578,,,0,2
920,mcboy,1,819,578,,,1,0
921,rdeep,2,819,580,,,0,2
922,rdeep,2,819,582,,,0,2
923,rdeep,2,819,584,,,0,2
924,rdeep,2,819,586,,,0,2
925,mcboy,1,820,586,,,1,0
926,mcboy,1,821,586,,,1,0
927,mcboy,1,822,586,,,1,0
928,rdeep,1,822,587,,,0,1
929,mcboy,1,823,587,,,1,0
930,rdeep,1,823,588,,,0,1
931,mcboy,3,826,588,,,3,0
932,mcboy,2,828,588,,,2,0
933,mcboy,2,830,588,,,2,0
934,mcboy,1,831,588,,,1,0
935,rdeep,3,831,591,,,0,3
936,mcboy,1,832,591,,,1,0
937,rdeep,1,832,592,,,0,1
938,mcboy,1,833,592,,,1,0
939,mcboy,1,834,592,,,1,0
940,mcboy,1,835,592,,,1,0
941,rdeep,1,835,593,,,0,1
942,mcboy,2,837,593,,,2,0
943,rdeep,2,837,595,,,0,2
944,mcboy,1,838,595,,,1,0
945,mcboy,2,840,595,,,2,0
946,mcboy,1,841,595,,,1,0
947,mcboy,2,843,595,,,2,0
948,mcboy,2,845,595,,,2,0
949,mcboy,2,847,595,,,2,0
950,mcboy,1,848,595,,,1,0
951,rdeep,1,848,596,,,0,1
952,mcboy,1,849,596,,,1,0
953,mcboy,1,850,596,,,1,0
954,rdeep,1,850,597,,,0,1
955,mcboy,1,851,597,,,1,0
956,rdeep,2,851,599,,,0,2
957,rdeep,2,851,601,,,0,2
958,mcboy,2,853,601,,,2,0
959,rdeep,1,853,602,,,0,1
960,mcboy,1,854,602,,,1,0
961,rdeep,1,854,603,,,0,1
962,rdeep,2,854,605,,,0,2
963,mcboy,3,857,605,,,3,0
964,mcboy,2,859,605,,,2,0
965,mcboy,1,860,605,,,1,0
966,rdeep,2,860,607,,,0,2
967,mcboy,1,861,607,,,1,0
968,mcboy,1,862,607,,,1,0
969,mcboy,1,863,607,,,1,0
970,mcboy,2,865,607,,,2,0
971,rdeep,1,865,608,,,0,1
972,mcboy,1,866,608,,,1,0
973,mcboy,1,867,608,,,1,0
974,mcboy,2,869,608,,,2,0
975,mcboy,1,870,608,,,1,0
976,mcboy,1,871,608,,,1,0
977,mcboy,1,872,608,,,1,0
978,rdeep,2,872,610,,,0,2
979,mcboy,1,873,610,,,1,0
980,mcboy,2,875,610,,,2,0
981,mcboy,1,876,610,,,1,0
982,mcboy,1,877,610,,,1,0
983,mcboy,1,878,610,,,1,0
984,mcboy,1,879,610,,,1,0
985,mcboy,1,880,610,,,1,0
986,mcboy,2,882,610,,,2,0
987,mcboy,1,883,610,,,1,0
988,rdeep,1,883,611,,,0,1
989,rdeep,1,883,612,,,0,1
990,mcboy,1,884,612,,,1,0
991,rdeep,1,884,613,,,0,1
992,mcboy,1,885,613,,,1,0
993,mcboy,1,886,613,,,1,0
994,rdeep,1,886,614,,,0,1
995,mcboy,2,888,614,,,2,0
996,rdeep,1,888,615,,,0,1
997,rdeep,1,888,616,,,0,1
998,mcboy,2,890,616,,,2,0
999,rdeep,2,890,618,,,0,2
1000,rdeep,2,890,620,,,0,2
